Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-01-01,true,230.00,170.00,3.40,"**$40 / $74.9 / $99.9 個人護理換購優惠！**
凡購買指定產品，即可以$40 / $74.9 / $99.9換購精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。",
2021-01-02,true,230.00,170.00,3.40,"**$40 / $74.9 / $99.9 個人護理換購優惠！**
凡購買指定產品，即可以$40 / $74.9 / $99.9換購精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**$22.9 / $39.9 / $65.9 高露潔換購優惠！**
凡購買指定產品，即可以$22.9 / $39.9 / $65.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。",
2021-01-03,true,230.00,170.00,3.40,"**$40 / $74.9 / $99.9 個人護理換購優惠！**
凡購買指定產品，即可以$40 / $74.9 / $99.9換購精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**$22.9 / $39.9 / $65.9 高露潔換購優惠！**
凡購買指定產品，即可以$22.9 / $39.9 / $65.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。",
2021-01-04,true,230.00,170.00,3.40,"**$40 / $74.9 / $99.9 個人護理換購優惠！**
凡購買指定產品，即可以$40 / $74.9 / $99.9換購精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**$22.9 / $39.9 / $65.9 高露潔換購優惠！**
凡購買指定產品，即可以$22.9 / $39.9 / $65.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。",
2021-01-05,true,230.00,170.00,3.40,"**$40 / $74.9 / $99.9 個人護理換購優惠！**
凡購買指定產品，即可以$40 / $74.9 / $99.9換購精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**$22.9 / $39.9 / $65.9 高露潔換購優惠！**
凡購買指定產品，即可以$22.9 / $39.9 / $65.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**柔麗/plu/風倍清換購優惠**
【換購優惠】凡購買精選家居清潔/護理保健/紙品產品，即可以$32.9換購柔麗\[優惠孖裝\] 衣物柔順劑2L補充装 防止靜電  
以$39.9換購Plu酒精搓手液180ml  
以$49.9換購風倍清織物除菌消臭噴霧(高效除菌)  
貨品數量有限，換完即止。  
優惠期至2021年1月31日。",
2021-01-06,true,230.00,170.00,3.40,"**$40 / $74.9 / $99.9 個人護理換購優惠！**
凡購買指定產品，即可以$40 / $74.9 / $99.9換購精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**$22.9 / $39.9 / $65.9 高露潔換購優惠！**
凡購買指定產品，即可以$22.9 / $39.9 / $65.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**柔麗/plu/風倍清換購優惠**
【換購優惠】凡購買精選家居清潔/護理保健/紙品產品，即可以$32.9換購柔麗\[優惠孖裝\] 衣物柔順劑2L補充装 防止靜電  
以$39.9換購Plu酒精搓手液180ml  
以$49.9換購風倍清織物除菌消臭噴霧(高效除菌)  
貨品數量有限，換完即止。  
優惠期至2021年1月31日。",
2021-01-07,true,230.00,170.00,3.40,"**$40 / $74.9 / $99.9 個人護理換購優惠！**
凡購買指定產品，即可以$40 / $74.9 / $99.9換購精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**$22.9 / $39.9 / $65.9 高露潔換購優惠！**
凡購買指定產品，即可以$22.9 / $39.9 / $65.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**柔麗/plu/風倍清換購優惠**
【換購優惠】凡購買精選家居清潔/護理保健/紙品產品，即可以$32.9換購柔麗\[優惠孖裝\] 衣物柔順劑2L補充装 防止靜電  
以$39.9換購Plu酒精搓手液180ml  
以$49.9換購風倍清織物除菌消臭噴霧(高效除菌)  
貨品數量有限，換完即止。  
優惠期至2021年1月31日。",
2021-01-08,false,230.00,170.00,3.40,"**$40 / $74.9 / $99.9 個人護理換購優惠！**
凡購買指定產品，即可以$40 / $74.9 / $99.9換購精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**$22.9 / $39.9 / $65.9 高露潔換購優惠！**
凡購買指定產品，即可以$22.9 / $39.9 / $65.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**柔麗/plu/風倍清換購優惠**
【換購優惠】凡購買精選家居清潔/護理保健/紙品產品，即可以$32.9換購柔麗\[優惠孖裝\] 衣物柔順劑2L補充装 防止靜電  
以$39.9換購Plu酒精搓手液180ml  
以$49.9換購風倍清織物除菌消臭噴霧(高效除菌)  
貨品數量有限，換完即止。  
優惠期至2021年1月31日。",
2021-01-09,true,230.00,170.00,3.40,"**$40 / $74.9 / $99.9 個人護理換購優惠！**
凡購買指定產品，即可以$40 / $74.9 / $99.9換購精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**$22.9 / $39.9 / $65.9 高露潔換購優惠！**
凡購買指定產品，即可以$22.9 / $39.9 / $65.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**柔麗/plu/風倍清換購優惠**
【換購優惠】凡購買精選家居清潔/護理保健/紙品產品，即可以$32.9換購柔麗\[優惠孖裝\] 衣物柔順劑2L補充装 防止靜電  
以$39.9換購Plu酒精搓手液180ml  
以$49.9換購風倍清織物除菌消臭噴霧(高效除菌)  
貨品數量有限，換完即止。  
優惠期至2021年1月31日。",
2021-01-10,true,230.00,170.00,3.40,"**$40 / $74.9 / $99.9 個人護理換購優惠！**
凡購買指定產品，即可以$40 / $74.9 / $99.9換購精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**$22.9 / $39.9 / $65.9 高露潔換購優惠！**
凡購買指定產品，即可以$22.9 / $39.9 / $65.9 換購高露潔精選產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年1月31日。
**柔麗/plu/風倍清換購優惠**
【換購優惠】凡購買精選家居清潔/護理保健/紙品產品，即可以$32.9換購柔麗\[優惠孖裝\] 衣物柔順劑2L補充装 防止靜電  
以$39.9換購Plu酒精搓手液180ml  
以$49.9換購風倍清織物除菌消臭噴霧(高效除菌)  
貨品數量有限，換完即止。  
優惠期至2021年1月31日。",
