Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-03-01,true,190.80,129.90,2.71,,
2021-03-02,true,190.80,129.90,2.71,,
2021-03-03,true,190.80,129.90,2.71,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。",
2021-03-04,true,190.80,129.90,2.71,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。",
2021-03-05,true,190.80,129.90,2.71,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。",
2021-03-06,true,190.80,129.90,2.71,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。",
2021-03-07,true,190.80,129.90,2.71,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。",
2021-03-08,true,190.80,129.90,2.71,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。",
2021-03-09,true,190.80,129.90,2.71,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**換購精選產品**
購買指定產品換購精產產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年3月31日",
2021-03-10,true,190.80,129.90,2.71,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**換購精選產品**
購買指定產品換購精產產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年3月31日",
2021-03-11,true,190.80,129.90,2.71,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**換購精選產品**
購買指定產品換購精產產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年3月31日",
2021-03-12,true,190.80,129.90,2.71,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**換購精選產品**
購買指定產品換購精產產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年3月31日",
2021-03-13,true,190.80,129.90,2.71,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**換購精選產品**
購買指定產品換購精產產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年3月31日",
2021-03-14,true,190.80,129.90,2.71,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**換購精選產品**
購買指定產品換購精產產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年3月31日",
2021-03-15,true,190.80,129.90,2.71,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**換購精選產品**
購買指定產品換購精產產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年3月31日
**$15.9換購虎標藥布3片！**
【換購優惠！】凡購買精選產品，即可以$15.9換購 虎標 - 溫感鎮痛藥布3片  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年3月28日。",
2021-03-16,true,190.80,129.90,2.71,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**換購精選產品**
購買指定產品換購精產產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年3月31日
**$15.9換購虎標藥布3片！**
【換購優惠！】凡購買精選產品，即可以$15.9換購 虎標 - 溫感鎮痛藥布3片  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年3月28日。",
2021-03-17,true,190.80,129.90,2.71,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**換購精選產品**
購買指定產品換購精產產品。  
每次交易最多換購1件。  
換購貨品數量有限，換完即止。優惠期至2021年3月31日
**$15.9換購虎標藥布3片！**
【換購優惠！】凡購買精選產品，即可以$15.9換購 虎標 - 溫感鎮痛藥布3片  
換購貨品數量有限，換完即止。  
優惠期由即日至2021年3月28日。",
