Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-03-01,true,259.80,209.00,13.06,"**$8換 韓版CJ 韓式炒泡菜**
買3件指定產品【市集世界】加推：超值價換購 24款 韓國泰國 新登場人氣美食  
+$8,$18 體驗韓式泰式特色生活！  
買指定產品加錢換購，貨品數量有限，換完即止。",
2021-03-02,true,259.80,199.90,12.49,"**$8換 韓版CJ 韓式炒泡菜**
買3件指定產品【市集世界】加推：超值價換購 24款 韓國泰國 新登場人氣美食  
+$8,$18 體驗韓式泰式特色生活！  
買指定產品加錢換購，貨品數量有限，換完即止。",
2021-03-03,true,259.80,199.90,12.49,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。",
2021-03-04,true,259.80,199.90,12.49,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**$10換 3個合味道冬蔭功杯麵**
【市集世界】加推：超值價換購 泰國 新登場人氣美食  
+$10,$15 體驗泰式特色生活！  
買指定產品加錢換購，貨品數量有限，換完即止。
**+$換購優惠**
買指定產品+$換購優惠  
每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-03-05,true,259.80,199.90,12.49,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**$10換 3個合味道冬蔭功杯麵**
【市集世界】加推：超值價換購 泰國 新登場人氣美食  
+$10,$15 體驗泰式特色生活！  
買指定產品加錢換購，貨品數量有限，換完即止。
**+$換購優惠**
買指定產品+$換購優惠  
每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-03-06,true,259.80,199.90,12.49,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**$10換 3個合味道冬蔭功杯麵**
【市集世界】加推：超值價換購 泰國 新登場人氣美食  
+$10,$15 體驗泰式特色生活！  
買指定產品加錢換購，貨品數量有限，換完即止。
**+$換購優惠**
買指定產品+$換購優惠  
每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-03-07,true,259.80,199.90,12.49,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**$10換 3個合味道冬蔭功杯麵**
【市集世界】加推：超值價換購 泰國 新登場人氣美食  
+$10,$15 體驗泰式特色生活！  
買指定產品加錢換購，貨品數量有限，換完即止。
**+$換購優惠**
買指定產品+$換購優惠  
每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-03-08,true,259.80,199.90,12.49,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**$10換 3個合味道冬蔭功杯麵**
【市集世界】加推：超值價換購 泰國 新登場人氣美食  
+$10,$15 體驗泰式特色生活！  
買指定產品加錢換購，貨品數量有限，換完即止。
**+$換購優惠**
買指定產品+$換購優惠  
每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-03-09,true,259.80,199.90,12.49,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**$10換 3個合味道冬蔭功杯麵**
【市集世界】加推：超值價換購 泰國 新登場人氣美食  
+$10,$15 體驗泰式特色生活！  
買指定產品加錢換購，貨品數量有限，換完即止。
**+$換購優惠**
買指定產品+$換購優惠  
每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
2021-03-10,true,259.80,199.90,12.49,"**$35 / $42.9 / $79.9 個人護理產品換購優惠！**
凡購買指定產品，即可以$35 / $42.9 / $79.9 換購精選個人護理產品！  
每次交易最多可換購產品9件  
換購貨品數量有限，換完即止。  
贈品優惠將以購物車為準。  
優惠期至2021年3月31日。
**$10換 3個合味道冬蔭功杯麵**
【市集世界】加推：超值價換購 泰國 新登場人氣美食  
+$10,$15 體驗泰式特色生活！  
買指定產品加錢換購，貨品數量有限，換完即止。
**+$換購優惠**
買指定產品+$換購優惠  
每單交易可享此優惠3次。  
換購貨品數量有限，換完即止。",
